stock_id,year,make,model,trim,price,miles,body,drivetrain,transmission,fuel,color,seats,mpg_city,mpg_hwy,features,image_url
DEMO-1000,2021,Toyota,Camry,Premium,23500,22772,Sedan,FWD,Automatic,Gasoline,Beige,5,23,30,"Android Auto, Blind-spot monitor, CarPlay, Remote start, Wireless charging",https://placehold.co/800x500?text=Toyota%20Camry
DEMO-1001,2017,Toyota,RAV4,Sport,19000,34544,SUV,AWD,CVT,Hybrid,White,5,42,37,"3rd-row, Adaptive cruise, Alloy wheels, Android Auto, Blind-spot monitor, CarPlay, Heated seats, Lane keep assist, Sunroof",https://placehold.co/800x500?text=Toyota%20RAV4
DEMO-1002,2025,Toyota,Highlander,Limited,30000,43433,SUV,FWD,CVT,Gasoline,Gray,5,31,38,"Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, Bluetooth, Heated seats, Lane keep assist, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=Toyota%20Highlander
DEMO-1003,2020,Toyota,Tacoma,Limited,29250,35561,Truck,4WD,CVT,Gasoline,Blue,5,18,28,"Alloy wheels, Android Auto, Backup camera, Blind-spot monitor, Bluetooth, Lane keep assist, Navigation, Premium audio, Tow package, Ventilated seats",https://placehold.co/800x500?text=Toyota%20Tacoma
DEMO-1004,2018,Honda,Civic,Sport,15000,67089,Sedan,FWD,CVT,Gasoline,Red,5,29,38,"Android Auto, Heated seats, Premium audio, Remote start, Sunroof, Tow package, Ventilated seats",https://placehold.co/800x500?text=Honda%20Civic
DEMO-1005,2016,Honda,Accord,SE,9000,98834,Sedan,4WD,CVT,Gasoline,Green,5,22,27,"Adaptive cruise, Android Auto, Backup camera, CarPlay, Navigation, Premium audio, Remote start",https://placehold.co/800x500?text=Honda%20Accord
DEMO-1006,2018,Honda,CR-V,Sport,14500,99778,SUV,AWD,Automatic,Gasoline,Silver,5,25,30,"Alloy wheels, Backup camera, Blind-spot monitor, Bluetooth, Lane keep assist, Remote start, Sunroof, Tow package, Wireless charging",https://placehold.co/800x500?text=Honda%20CR-V
DEMO-1007,2018,Honda,Pilot,Base,21500,22830,SUV,AWD,CVT,Gasoline,Silver,5,33,43,"Bluetooth, Heated seats, Remote start, Sunroof, Tow package",https://placehold.co/800x500?text=Honda%20Pilot
DEMO-1008,2023,Ford,F-150,Limited,26500,117161,Truck,4WD,Manual,Gasoline,Green,5,18,22,"3rd-row, Adaptive cruise, Alloy wheels, Android Auto, Backup camera, HUD, Leather, Premium audio, Tow package, Ventilated seats",https://placehold.co/800x500?text=Ford%20F-150
DEMO-1009,2025,Ford,Escape,Sport,33000,9891,SUV,FWD,Manual,Hybrid,Black,7,53,55,"3rd-row, Backup camera, Lane keep assist, Navigation, Remote start, Sunroof",https://placehold.co/800x500?text=Ford%20Escape
DEMO-1010,2023,Ford,Mustang,Limited,22750,64078,Coupe,AWD,Automatic,Gasoline,Silver,5,22,27,"Backup camera, Bluetooth, HUD, Lane keep assist, Ventilated seats",https://placehold.co/800x500?text=Ford%20Mustang
DEMO-1011,2018,Ford,Explorer,Limited,15000,93448,SUV,AWD,CVT,Gasoline,Blue,5,34,39,"Backup camera, Lane keep assist, Remote start, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=Ford%20Explorer
DEMO-1012,2019,Chevrolet,Silverado 1500,SE,23500,83377,Truck,RWD,Manual,Gasoline,Gray,5,20,27,"3rd-row, Backup camera, CarPlay, HUD, Remote start, Tow package, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=Chevrolet%20Silverado%201500
DEMO-1013,2019,Chevrolet,Malibu,Base,14000,93770,Sedan,AWD,Manual,Gasoline,Red,5,25,32,"Adaptive cruise, Backup camera, HUD, Heated seats, Leather, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=Chevrolet%20Malibu
DEMO-1014,2023,Chevrolet,Tahoe,LX,23000,88587,SUV,FWD,Manual,Gasoline,Gray,5,33,37,"3rd-row, Adaptive cruise, Blind-spot monitor, Bluetooth, Heated seats, Tow package",https://placehold.co/800x500?text=Chevrolet%20Tahoe
DEMO-1015,2018,Chevrolet,Equinox,LX,21750,19651,SUV,4WD,CVT,Hybrid,Silver,5,41,36,"3rd-row, Bluetooth, CarPlay, HUD, Premium audio, Remote start, Sunroof, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=Chevrolet%20Equinox
DEMO-1016,2022,Nissan,Altima,Limited,16500,117261,Sedan,RWD,CVT,Gasoline,Gray,5,22,31,"Adaptive cruise, Blind-spot monitor, Bluetooth, Heated seats, Lane keep assist, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=Nissan%20Altima
DEMO-1017,2023,Nissan,Rogue,Sport,23000,89831,SUV,4WD,CVT,Gasoline,Silver,5,24,31,"3rd-row, Backup camera, CarPlay, HUD, Heated seats, Navigation, Premium audio, Remote start, Wireless charging",https://placehold.co/800x500?text=Nissan%20Rogue
DEMO-1018,2024,Nissan,Frontier,Touring,37500,11094,Truck,4WD,Automatic,Gasoline,Beige,5,17,25,"3rd-row, Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, Lane keep assist, Tow package",https://placehold.co/800x500?text=Nissan%20Frontier
DEMO-1019,2024,Nissan,Sentra,SE,29500,6652,Sedan,FWD,CVT,Gasoline,Beige,5,25,34,"3rd-row, Adaptive cruise, Alloy wheels, Blind-spot monitor, Lane keep assist, Premium audio, Tow package, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=Nissan%20Sentra
DEMO-1020,2024,Hyundai,Elantra,Sport,27250,29553,Sedan,RWD,Manual,Gasoline,White,5,26,36,"Adaptive cruise, Android Auto, Blind-spot monitor, Bluetooth, HUD, Heated seats, Leather, Premium audio",https://placehold.co/800x500?text=Hyundai%20Elantra
DEMO-1021,2018,Hyundai,Tucson,Premium,14750,96863,SUV,AWD,Manual,Gasoline,Silver,5,25,30,"3rd-row, Backup camera, Bluetooth, Leather, Tow package, Ventilated seats",https://placehold.co/800x500?text=Hyundai%20Tucson
DEMO-1022,2024,Hyundai,Santa Fe,Limited,27500,55928,SUV,AWD,Manual,Gasoline,White,5,22,29,"Bluetooth, HUD, Premium audio, Remote start, Wireless charging",https://placehold.co/800x500?text=Hyundai%20Santa%20Fe
DEMO-1023,2024,Kia,K5,SE,22250,84779,Sedan,FWD,Automatic,Gasoline,Gray,5,34,39,"Android Auto, HUD, Heated seats, Lane keep assist, Premium audio",https://placehold.co/800x500?text=Kia%20K5
DEMO-1024,2018,Kia,Sportage,SE,13500,110449,SUV,AWD,Manual,Gasoline,Silver,5,28,32,"3rd-row, Alloy wheels, Bluetooth, CarPlay, HUD, Heated seats, Remote start, Sunroof, Ventilated seats",https://placehold.co/800x500?text=Kia%20Sportage
DEMO-1025,2016,Kia,Telluride,LX,12750,86157,SUV,AWD,CVT,Hybrid,Gray,7,46,40,"3rd-row, Alloy wheels, Bluetooth, CarPlay, Premium audio, Tow package",https://placehold.co/800x500?text=Kia%20Telluride
DEMO-1026,2016,Mazda,CX-5,Limited,14000,72063,SUV,RWD,Manual,Gasoline,Black,7,24,30,"3rd-row, Adaptive cruise, Alloy wheels, Blind-spot monitor, Bluetooth, Lane keep assist, Navigation, Wireless charging",https://placehold.co/800x500?text=Mazda%20CX-5
DEMO-1027,2016,Mazda,Mazda3,Premium,14750,35826,Sedan,FWD,CVT,Hybrid,Beige,5,51,47,"Adaptive cruise, Android Auto, Blind-spot monitor, Bluetooth, HUD, Premium audio, Remote start, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=Mazda%20Mazda3
DEMO-1028,2024,Mazda,CX-30,Base,28500,43341,SUV,AWD,Automatic,Gasoline,Silver,5,28,33,"Android Auto, Bluetooth, CarPlay, HUD, Heated seats, Remote start, Sunroof",https://placehold.co/800x500?text=Mazda%20CX-30
DEMO-1029,2017,Subaru,Outback,Limited,14000,90192,Wagon,AWD,CVT,Gasoline,Blue,5,22,28,"Adaptive cruise, Backup camera, HUD, Lane keep assist, Premium audio",https://placehold.co/800x500?text=Subaru%20Outback
DEMO-1030,2021,Subaru,Forester,Base,21250,74706,SUV,AWD,Automatic,Gasoline,Red,7,25,33,"3rd-row, Bluetooth, Heated seats, Lane keep assist, Leather, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=Subaru%20Forester
DEMO-1031,2017,Subaru,Crosstrek,Limited,18500,37625,SUV,AWD,CVT,Gasoline,Green,7,31,38,"3rd-row, Adaptive cruise, Bluetooth, Heated seats, Remote start, Sunroof, Wireless charging",https://placehold.co/800x500?text=Subaru%20Crosstrek
DEMO-1032,2023,Volkswagen,Jetta,EX,26500,22590,Sedan,RWD,Automatic,Gasoline,Beige,5,32,41,"Alloy wheels, Bluetooth, CarPlay, Navigation, Remote start, Sunroof, Tow package, Wireless charging",https://placehold.co/800x500?text=Volkswagen%20Jetta
DEMO-1033,2017,Volkswagen,Tiguan,Sport,21250,7084,SUV,FWD,Manual,Hybrid,Brown,5,52,54,"Adaptive cruise, CarPlay, HUD, Lane keep assist, Ventilated seats",https://placehold.co/800x500?text=Volkswagen%20Tiguan
DEMO-1034,2024,BMW,3 Series,SE,37000,11657,Sedan,4WD,Manual,Gasoline,White,5,23,30,"Adaptive cruise, Alloy wheels, Blind-spot monitor, HUD, Premium audio, Tow package, Wireless charging",https://placehold.co/800x500?text=BMW%203%20Series
DEMO-1035,2016,BMW,X3,EX,21000,83868,SUV,AWD,CVT,Gasoline,Silver,5,32,36,"Adaptive cruise, Alloy wheels, CarPlay, HUD, Sunroof, Ventilated seats, Wireless charging",https://placehold.co/800x500?text=BMW%20X3
DEMO-1036,2023,Mercedes-Benz,C-Class,Touring,32750,41123,Sedan,AWD,Manual,Gasoline,Brown,5,29,33,"Adaptive cruise, Android Auto, Blind-spot monitor, CarPlay, HUD, Leather, Navigation, Sunroof",https://placehold.co/800x500?text=Mercedes-Benz%20C-Class
DEMO-1037,2020,Mercedes-Benz,GLC,Premium,29750,53704,SUV,RWD,Automatic,Gasoline,White,7,29,36,"3rd-row, Alloy wheels, Android Auto, Backup camera, HUD, Lane keep assist, Leather, Premium audio, Remote start, Sunroof",https://placehold.co/800x500?text=Mercedes-Benz%20GLC
DEMO-1038,2016,Audi,A4,Limited,23750,23849,Sedan,4WD,CVT,Hybrid,Brown,5,38,36,"Android Auto, Backup camera, Blind-spot monitor, Navigation, Remote start, Sunroof, Tow package, Wireless charging",https://placehold.co/800x500?text=Audi%20A4
DEMO-1039,2022,Audi,Q5,SE,35750,18734,SUV,AWD,Automatic,Gasoline,Blue,5,28,38,"3rd-row, Alloy wheels, Heated seats, Premium audio, Remote start",https://placehold.co/800x500?text=Audi%20Q5
DEMO-1040,2016,Tesla,Model 3,Base,26500,39783,Sedan,FWD,Automatic,Electric,Black,5,128,122,"Adaptive cruise, Backup camera, Lane keep assist, Leather, Navigation, Sunroof, Tow package, Wireless charging",https://placehold.co/800x500?text=Tesla%20Model%203
DEMO-1041,2022,Tesla,Model Y,Limited,31000,117783,SUV,RWD,Automatic,Electric,White,7,135,121,"3rd-row, Adaptive cruise, CarPlay, Heated seats, Lane keep assist, Navigation, Premium audio, Sunroof, Ventilated seats",https://placehold.co/800x500?text=Tesla%20Model%20Y
DEMO-1042,2020,Jeep,Grand Cherokee,Limited,22750,42029,SUV,AWD,Manual,Gasoline,Gray,5,25,32,"3rd-row, Adaptive cruise, Alloy wheels, Android Auto, Backup camera, HUD, Lane keep assist, Leather, Wireless charging",https://placehold.co/800x500?text=Jeep%20Grand%20Cherokee
DEMO-1043,2023,Jeep,Wrangler,Premium,25750,59023,SUV,AWD,Automatic,Hybrid,Silver,5,44,47,"3rd-row, Adaptive cruise, Bluetooth, Lane keep assist, Remote start",https://placehold.co/800x500?text=Jeep%20Wrangler
DEMO-1044,2022,GMC,Sierra 1500,Touring,30250,57248,Truck,4WD,Automatic,Gasoline,Brown,5,22,29,"Alloy wheels, Android Auto, Backup camera, Blind-spot monitor, Leather, Remote start, Sunroof, Tow package, Wireless charging",https://placehold.co/800x500?text=GMC%20Sierra%201500
DEMO-1045,2022,GMC,Acadia,Sport,25500,43896,SUV,FWD,Automatic,Gasoline,Black,5,29,34,"Adaptive cruise, Alloy wheels, Blind-spot monitor, CarPlay, Heated seats, Lane keep assist, Tow package, Ventilated seats",https://placehold.co/800x500?text=GMC%20Acadia
DEMO-1046,2019,Volvo,XC60,LX,31000,23234,SUV,FWD,CVT,Gasoline,Brown,7,33,39,"3rd-row, Adaptive cruise, Android Auto, Bluetooth, CarPlay, Sunroof",https://placehold.co/800x500?text=Volvo%20XC60
DEMO-1047,2020,Lexus,RX 350,SE,28000,72239,SUV,FWD,Automatic,Gasoline,White,5,26,33,"3rd-row, Adaptive cruise, Blind-spot monitor, CarPlay, HUD, Lane keep assist, Navigation, Premium audio, Wireless charging",https://placehold.co/800x500?text=Lexus%20RX%20350
DEMO-1048,2021,Acura,RDX,Premium,28250,87485,SUV,AWD,CVT,Gasoline,Gray,5,29,38,"Android Auto, CarPlay, Leather, Navigation, Tow package",https://placehold.co/800x500?text=Acura%20RDX
DEMO-1049,2017,Porsche,Macan,Sport,26750,36719,SUV,AWD,Manual,Gasoline,Gray,5,33,43,"3rd-row, Blind-spot monitor, CarPlay, Remote start, Sunroof, Tow package, Wireless charging",https://placehold.co/800x500?text=Porsche%20Macan
